,Venue,Latitude,Longitude,Group,Category
0,St David's Health Clinic,51.45251088321308,-0.476367895886561,Health,Doctor
1,"Vision Express Opticians at Tesco - Ashford, Kent",51.4455371,-0.4721655,Health,Doctor
2,Ashford Walk In Health Centre,51.444404,-0.473677,Health,Doctor
3,Heathrow Medical Services,51.480123,-0.490718,Health,Doctor
4,Stanwell Road Surgery,51.438184205738544,-0.47105908652623213,Health,Doctor
5,Studholme Medical Centre,51.43333325065094,-0.4622797813901242,Health,Doctor
6,Fordingbridge Medical Centre,51.4327771,-0.4620534,Health,Doctor
8,Langley Health Centre,51.495518939368395,-0.5412161350250244,Health,Doctor
9,church road surgery,51.529031,-0.475208,Health,Doctor
10,Medical Centre,51.5144371177243,-0.47188005407725997,Health,Doctor
11,Acorn Medical,51.54167396131461,-0.44840751191825623,Health,Doctor
12,Vision Express Opticians at Tesco - Yiewsley,51.50298289598476,-0.4664644034231742,Health,Doctor
13,LloydsPharmacy,51.5201145349954,-0.5057365791836901,Health,Doctor
14,The Medical Centre,51.508148193359375,-0.47532621026039124,Health,Doctor
15,Belmont Medical Centre,51.54857723441333,-0.47732104738711123,Health,Doctor
16,Yiewsley Health Centre,51.51176940717499,-0.4725137913034701,Health,Doctor
17,Uxbridge Health Centre,51.54629167949044,-0.47565221786499023,Health,Doctor
18,Medical Centre,51.53185508534889,-0.47261918886386317,Health,Doctor
19,Specsavers Opticians and Audiologists - West Drayton,51.5121499,-0.4723058,Health,Doctor
20,Vision Express Opticians - Uxbridge,51.5470579,-0.4807638,Health,Doctor
21,Iver Heath Health Centre,51.53824547151462,-0.521827995191654,Health,Doctor
25,The Village Dental Practice,51.60492532556789,-0.48159400725848295,Health,Doctor
26,Denham Medical Centre,51.58856936755934,-0.5004147425333233,Health,Doctor
27,The Colne Practice,51.639273233592434,-0.4822089064686759,Health,Doctor
28,Gade Surgery,51.63673163964766,-0.481526255607605,Health,Doctor
29,Orchard Surgery,51.42855,-0.452271,Health,Doctor
30,Vision Express Opticians at Tesco - Sunbury,51.4173642,-0.4248387,Health,Doctor
34,Sunbury Health Centre,51.41261482421913,-0.41794023911355693,Health,Doctor
35,Bedfont Clinic,51.451996,-0.42941296,Health,Doctor
36,Medical Center,51.44609485225761,-0.411307156501831,Health,Doctor
37,Little Park Surgery,51.442463277951674,-0.3875507944283321,Health,Doctor
38,Dr Sen's Surgery,51.44736747048253,-0.40663531077169507,Health,Doctor
39,Dr Sen Hanworth Road Surgery,51.44740107121703,-0.40689114802621856,Health,Doctor
40,Heathrow Medical Centre,51.48013218237802,-0.4307362104947405,Health,Doctor
41,Mount Medical Centre,51.440419,-0.387941,Health,Doctor
42,Cranford Medical Centre,51.48197280792092,-0.4118706326525869,Health,Doctor
43,Skyway Medical Center,51.476373218454086,-0.39396969313904473,Health,Doctor
44,Hounslow Medical Centre,51.469387,-0.37724733,Health,Doctor
45,Bedfont Surgery,51.451718,-0.429885,Health,Doctor
46,Grove Village Medical Centre,51.448984,-0.4315584,Health,Doctor
47,St. Davids Practice,51.44614791870117,-0.4113472104072571,Health,Doctor
50,Elers Road  Surgery,51.5024963027605,-0.4354313058822697,Health,Doctor
51,Beverly Hayes Clinic,51.505691,-0.41979,Health,Doctor
53,คลีนิคหมอประจำหมู่บ้าน,51.498602,-0.436097,Health,Doctor
57,Warren Medical Centre,51.51984377700625,-0.40898750234333237,Health,Doctor
