,Venue,Latitude,Longitude,Group,Category
0,Colnbrook CE Primary School,51.482733,-0.523746,Education,Elementary_School
1,parlaunt park primary,51.50254525948091,-0.5354390274249541,Education,Elementary_School
2,Hillingdon Primary School,51.531114205419804,-0.45150576716497104,Education,Elementary_School
3,Hillingdon Manor School,51.52354172643111,-0.449254940837384,Education,Elementary_School
4,The Breakspear School,51.56951678234067,-0.45175234559012206,Education,Elementary_School
5,Shepherd School,51.637221,-0.496251,Education,Elementary_School
6,St Peter's C of E Primary School,51.636808261639366,-0.49126936779261576,Education,Elementary_School
7,St Mary's Church of England Primary School,51.63608759610249,-0.4927350326867393,Education,Elementary_School
8,Arnett Hills School,51.645233469235116,-0.4949772392159162,Education,Elementary_School
9,Park Road School,51.427978010618425,-0.44970231658948684,Education,Elementary_School
10,Buckland Primary School,51.42299240655736,-0.4861631795672468,Education,Elementary_School
11,Southville Community Centre,51.450433842971854,-0.4250699187227136,Education,Elementary_School
12,Crane Park Primary school,51.442127,-0.381602,Education,Elementary_School
13,Cherry Lane Primary School,51.49707483576206,-0.4568749976539154,Education,Elementary_School
14,Heathrow Primary school,51.48944091796875,-0.4636663794517517,Education,Elementary_School
17,Oakwood School,51.539189,-0.444774,Education,Elementary_School
18,Glebe Primary School,51.558594,-0.43666932,Education,Elementary_School
21,Sacred Heart Primary School,51.56674887008321,-0.425581596481738,Education,Elementary_School
22,Harlyn Primary School,51.60176921669494,-0.4031690046423617,Education,Elementary_School
23,Frithwood Primary School,51.61331325186916,-0.41702985763549805,Education,Elementary_School
24,RNIB Sunshine House School,51.61323330493301,-0.4325222969055176,Education,Elementary_School
25,Greenfields Primary School,51.61800375940839,-0.39364758132724886,Education,Elementary_School
26,Warrender School,51.57771682739258,-0.4148189127445221,Education,Elementary_School
27,Malvern Way School,51.649919691719745,-0.43981372651723083,Education,Elementary_School
29,Rickmansworth JMI Park School,51.642424,-0.467087,Education,Elementary_School
31,Cranmere Primary School,51.38387248034343,-0.3625500914577275,Education,Elementary_School
32,St Paul's Catholic Primary School,51.38875214398228,-0.3465133387683672,Education,Elementary_School
33,Hurst Park Primary School,51.40510817530648,-0.3781360434212664,Education,Elementary_School
34,Cranmere Primary School,51.38415072871824,-0.362051356283901,Education,Elementary_School
35,St Mary's Hampton CE Primary School,51.41455823630869,-0.38106679916381836,Education,Elementary_School
36,Lindon Bennett School,51.4287192,-0.39266670000006343,Education,Elementary_School
37,Carlisle Infant School,51.42285229436292,-0.3632467375945384,Education,Elementary_School
40,Nelson Primary School,51.45345074238626,-0.36131938108490924,Education,Elementary_School
41,Worple Road Primary School,51.46546871004608,-0.3245880874467488,Education,Elementary_School
42,Archdeacon Cambridge Primary School,51.442171583036746,-0.3424608254588587,Education,Elementary_School
43,Hounslow Town Primary School,51.470506664806514,-0.3525917956663872,Education,Elementary_School
44,Chatsworth Primary School,51.46465417719217,-0.35414124379338957,Education,Elementary_School
45,"Stanley Primary School, Tedfington",51.43396005334553,-0.3447083980614295,Education,Elementary_School
47,The Pilgrim,51.43725,-0.346094,Education,Elementary_School
48,"Clifton Primary school,Southall",51.498044,-0.382483,Education,Elementary_School
49,Dormers wells infant school,51.51340003132311,-0.36324694660340673,Education,Elementary_School
50,beaconsfield primary school,51.50771713256836,-0.3810949921607971,Education,Elementary_School
51,Mayfield Primary School,51.52098132110678,-0.34724642771630604,Education,Elementary_School
54,drayton green primary school,51.516496067653804,-0.3194080259257022,Education,Elementary_School
55,Willow Tree Primary School,51.550503,-0.37914565,Education,Elementary_School
56,Heathland School,51.563741,-0.369422,Education,Elementary_School
57,Roxbourne Primary School,51.56888198852539,-0.3830774426460266,Education,Elementary_School
58,Bourne Primary School,51.55308746666666,-0.3956547,Education,Elementary_School
59,St Teresa's Catholic Primary School,51.603893,-0.35398754,Education,Elementary_School
60,St Anselm's Catholic Primary School,51.58336401593106,-0.34424748713336983,Education,Elementary_School
61,Marlborough Primary School,51.5888328997266,-0.3403070202733684,Education,Elementary_School
62,Sylvia Avenue,51.61244445237955,-0.3578834262637554,Education,Elementary_School
63,Norbury primary school,51.583686563963816,-0.33939272788637515,Education,Elementary_School
67,Sacred Heart Primary School,51.644666974727286,-0.3710240328596708,Education,Elementary_School
69,Bushey and Oxhey Infants School,51.64512195435092,-0.3780500215628562,Education,Elementary_School
70,Bournehall Primary School,51.65025768211631,-0.3604107447852858,Education,Elementary_School
71,West Ashtead School,51.303923237577294,-0.30790983194145344,Education,Elementary_School
72,stamford green pimary school,51.336756,-0.281698,Education,Elementary_School
73,Vale Primary School,51.30513939669896,-0.2618492255901003,Education,Elementary_School
74,Lovelace Primary School Chessington,51.363426,-0.315754,Education,Elementary_School
75,Ellingham School,51.358235327486774,-0.30864945127200505,Education,Elementary_School
76,Dicky Birds Surbiton,51.389015197753906,-0.29330316185951233,Education,Elementary_School
77,Kings Oak Primary School,51.404612,-0.276206,Education,Elementary_School
78,Kingston Town Children's Centre,51.402086661150044,-0.29309511669548877,Education,Elementary_School
79,Maple Infant School,51.3951220294978,-0.3071531653404236,Education,Elementary_School
80,Grand Avenue Primary,51.38950411154957,-0.27565859745411114,Education,Elementary_School
81,St. Paul's C of E Primary School Kingston Hill,51.417412,-0.286555,Education,Elementary_School
82,King Athelstan Primary School,51.405524,-0.294622,Education,Elementary_School
83,Christ Church School,51.3924548955464,-0.28876229743963766,Education,Elementary_School
84,Coombe Day Nursery,51.41263961791992,-0.2855093777179718,Education,Elementary_School
93,Marshgate Primary,51.46152963626281,-0.28958482392250684,Education,Elementary_School
94,Deer Park School,51.46434491728063,-0.30242425770538683,Education,Elementary_School
96,Holy Trinty CE Primary School,51.46347175211946,-0.2852150135468816,Education,Elementary_School
97,East Sheen Primary School,51.46468924145987,-0.25543212890625,Education,Elementary_School
98,Thomson House School,51.468583,-0.266311,Education,Elementary_School
