,Venue,Latitude,Longitude,Group,Category
0,Krishna cash & carry,51.52939,-0.445775,Dailyneeds,Fruit_And_Veg_Shop
1,Fruit and Veg Stall,51.446034,-0.410702,Dailyneeds,Fruit_And_Veg_Shop
2,barrack stores,51.463126,-0.388749,Dailyneeds,Fruit_And_Veg_Shop
3,slave labour,51.47874099471372,-0.4132142606666473,Dailyneeds,Fruit_And_Veg_Shop
5,TCK fresh produce ltd,51.507499,-0.424168,Dailyneeds,Fruit_And_Veg_Shop
8,Langley Fresh,51.570182118618504,-0.4107435946412467,Dailyneeds,Fruit_And_Veg_Shop
9,Eastcote Food Centre,51.577366,-0.39810184,Dailyneeds,Fruit_And_Veg_Shop
10,Paull's Fruit & Veg,51.390648,-0.3333305,Dailyneeds,Fruit_And_Veg_Shop
12,Produce Centre,51.46708983750577,-0.3339916796275123,Dailyneeds,Fruit_And_Veg_Shop
14,Osterley Park Farm Shop,51.487064,-0.348228,Dailyneeds,Fruit_And_Veg_Shop
17,Northolt Halal Meat And Veg,51.544636,-0.37354353,Dailyneeds,Fruit_And_Veg_Shop
18,Birring,51.54189667022339,-0.3465020352359709,Dailyneeds,Fruit_And_Veg_Shop
24,Reineta Ltd,51.51363749999999,-0.3082193,Dailyneeds,Fruit_And_Veg_Shop
27,FruitAsia,51.544572,-0.297372,Dailyneeds,Fruit_And_Veg_Shop
28,Jeen Cash & Carry,51.552673,-0.285052,Dailyneeds,Fruit_And_Veg_Shop
32,Kingsbury Fruit & Veg,51.585627091000624,-0.27709017128592844,Dailyneeds,Fruit_And_Veg_Shop
33,Aydin Food Centre,51.382875,-0.190329,Dailyneeds,Fruit_And_Veg_Shop
34,barnes fruit & veg,51.473762,-0.248706,Dailyneeds,Fruit_And_Veg_Shop
35,Lemon & Limes,51.494263,-0.25510758,Dailyneeds,Fruit_And_Veg_Shop
37,Bens Fruit & Vegetables,51.51531272000994,-0.19315123558044434,Dailyneeds,Fruit_And_Veg_Shop
40,The Fruit Bowl,51.655879,-0.201949,Dailyneeds,Fruit_And_Veg_Shop
41,Sutton Bazaar,51.366269,-0.205725,Dailyneeds,Fruit_And_Veg_Shop
43,Rhubarb & Bramley,51.365488,-0.160658,Dailyneeds,Fruit_And_Veg_Shop
44,Fruit man,51.461885859765914,-0.16746143040744263,Dailyneeds,Fruit_And_Veg_Shop
45,Hoxton Fruit and Veg,51.4702,-0.170661,Dailyneeds,Fruit_And_Veg_Shop
46,As Nature Intended,51.51446513249547,-0.16186895759796358,Dailyneeds,Fruit_And_Veg_Shop
