,Venue,Latitude,Longitude,Group,Category
0,Yellow Robin Health & Fitness,51.44008255004883,-0.48185598850250244,Well-Being,Gym
1,LivingWell,51.45871517670599,-0.44155455667983073,Well-Being,Gym
2,Zumba @ Princes,51.44099416759757,-0.45276619008857655,Well-Being,Gym
3,Premier Inn T5 - Gym,51.481914,-0.481412,Well-Being,Gym
4,Sofitel Gym,51.47341548025248,-0.49181998587614395,Well-Being,Gym
5,Cisco Gym,51.445969824205356,-0.4441393528680465,Well-Being,Gym
6,Spelthorne Gymnastics,51.43472675866632,-0.46409206895553073,Well-Being,Gym
7,Fitness Center,51.458665,-0.441944,Well-Being,Gym
8,Hyatt Place Gym,51.481834,-0.468036,Well-Being,Gym
9,Richings Park Sports Club,51.50310019470133,-0.50874204546541,Well-Being,Gym
10,Marriott Hotel Leisure Club,51.49243646087497,-0.5466433296894434,Well-Being,Gym
12,Langley Leisure Centre,51.498955,-0.53556204,Well-Being,Gym
13,Sheraton Gym,51.483443,-0.481173,Well-Being,Gym
15,Swimming Pool (Langley Leisure Centre),51.498955,-0.53556204,Well-Being,Gym
16,BActive Gym Waterside,51.485917324931826,-0.48627262761695655,Well-Being,Gym
17,Imagine Spa,51.47744048360985,-0.5174567771695473,Well-Being,Gym
18,Hilton Gym,51.47759092188967,-0.5175127045167527,Well-Being,Gym
19,Flex Gym Uxbridge,51.531247402753834,-0.4785909045860866,Well-Being,Gym
20,truGym,51.544785754819614,-0.4781961489782995,Well-Being,Gym
21,Panthers,51.520082,-0.48086,Well-Being,Gym
22,Virgin Active,51.54478239644773,-0.4783279660201806,Well-Being,Gym
23,Amateur Boxing Gym,51.51597298560015,-0.43668201097749393,Well-Being,Gym
24,Gymboree Uxbridge,51.54547483832069,-0.4798925612415639,Well-Being,Gym
25,Brunel Squash Court,51.533312,-0.470401,Well-Being,Gym
26,More Energy,51.53341347959318,-0.470104445124672,Well-Being,Gym
27,Active4Less Uxbridge,51.54462029489841,-0.47487974166870117,Well-Being,Gym
28,Nuffield Health Gym Uxbridge,51.54394679188365,-0.4789011372049227,Well-Being,Gym
29,Rush Fitness,51.548670214733576,-0.48186248971279905,Well-Being,Gym
30,Rush,51.54889944094456,-0.48183982380231105,Well-Being,Gym
31,Dave's gym,51.56887,-0.50449973,Well-Being,Gym
33,Denham Garden Village Gym,51.5847,-0.501384,Well-Being,Gym
37,William Penn Leisure Centre,51.63926884040095,-0.49863379629101695,Well-Being,Gym
38,Lk7sports,51.42253,-0.44274354,Well-Being,Gym
39,Nuffield Health Fitness & Wellbeing Gym,51.415367,-0.413529,Well-Being,Gym
40,The Gym London Sunbury,51.41894618049444,-0.4209999828033233,Well-Being,Gym
41,Sunbury Leisure Centre,51.41476438105484,-0.4214772975576973,Well-Being,Gym
42,Meadhurst Club,51.42861978936432,-0.4258445558604908,Well-Being,Gym
47,CrossFit Sunbury,51.420320639500176,-0.41304064632575177,Well-Being,Gym
48,Matthew Arnold Sports Centre,51.42595484853815,-0.48820397393410536,Well-Being,Gym
49,St. Giles Gym,51.449247,-0.40691,Well-Being,Gym
50,Hanworth Air Park Leisure Centre & Library,51.44126945094031,-0.39220708722606995,Well-Being,Gym
51,The Gym London Feltham,51.44435590161507,-0.40538746125093894,Well-Being,Gym
53,Hilton Garden Inn Gym,51.468525,-0.4188447,Well-Being,Gym
54,Crossfit Ivy,51.444601,-0.407979,Well-Being,Gym
55,Anytime Fitness,51.44385,-0.41013,Well-Being,Gym
56,Radisson Blu Edwardian Heathrow Gym,51.481754796281926,-0.4422317316654932,Well-Being,Gym
58,Marriott LHR Leisure Club,51.48115615282181,-0.438190322622503,Well-Being,Gym
59,Health Club,51.480739754702576,-0.446140470043996,Well-Being,Gym
60,Gym @ Moxy London Heathrow,51.480328,-0.41446266,Well-Being,Gym
61,dads crosstrainer,51.442335,-0.381639,Well-Being,Gym
62,Sheraton Fitness Centre,51.481508424373764,-0.4365936214814067,Well-Being,Gym
63,Pegasus gym,51.481868743896484,-0.4415402114391327,Well-Being,Gym
65,Feltham Airparks,51.441322465580114,-0.39217378147636744,Well-Being,Gym
67,BA Concorde Club,51.482126070534946,-0.4444604492812849,Well-Being,Gym
68,Heathrow Gymnastic Club,51.46817179966445,-0.405121025398716,Well-Being,Gym
69,Spirit Gym,51.49469727523579,-0.45570776427608733,Well-Being,Gym
70,Holiday Inn Gym,51.494848,-0.456209,Well-Being,Gym
71,Nuffield Health Fitness & Wellbeing Gym,51.512258711010226,-0.444647750480093,Well-Being,Gym
72,Pace Health & Fitness Club,51.48328226670503,-0.45104626107362616,Well-Being,Gym
74,Parkwest Gym,51.502389,-0.465281,Well-Being,Gym
81,William Byrd Swimming Pool,51.49446890417725,-0.43794648635867983,Well-Being,Gym
82,Nufield Health,51.50367405380843,-0.4181848313078087,Well-Being,Gym
85,Spirit Health Club,51.49945526523512,-0.4540891750819636,Well-Being,Gym
87,Rackspace Gym,51.50177748747633,-0.4284159502193472,Well-Being,Gym
89,Hayes Amateur  Boxing Club,51.51754404086825,-0.43321548827708334,Well-Being,Gym
91,PureGym,51.51447866955686,-0.3980827331542968,Well-Being,Gym
92,Better Botwell Green Leisure Centre,51.508538442520454,-0.4175972798777439,Well-Being,Gym
93,David Lloyd Heston,51.493645,-0.400693,Well-Being,Gym
95,Olympian Fitness,51.506050648270104,-0.4145568609237671,Well-Being,Gym
97,imperial taekwon doh federation,51.50132195093087,-0.40636875187430804,Well-Being,Gym
98,taekwon do imperial association hayes,51.506979766903,-0.417020228293,Well-Being,Gym
100,Hillingdon Sports & Leisure Complex,51.55167388967325,-0.46750479681564444,Well-Being,Gym
101,Anytime Fitness,51.573832,-0.413788,Well-Being,Gym
103,Hotpod Yoga,51.574383,-0.413848,Well-Being,Gym
107,DW Fitness First,51.56091921633104,-0.41054074061150403,Well-Being,Gym
109,Crossfit Ickenham,51.570126,-0.436174,Well-Being,Gym
112,Ruislip Lido Outdoor Gym,51.590372,-0.433399,Well-Being,Gym
113,Virgin Active,51.61298532648811,-0.4423560939148603,Well-Being,Gym
114,David Lloyd Northwood,51.612684776332124,-0.44337898514640983,Well-Being,Gym
