,Venue,Latitude,Longitude,Group,Category
0,Ashford Walk In Health Centre,51.444404,-0.473677,Health,Hospital
1,Ashford Hospital,51.44423441488712,-0.47306439385776117,Health,Hospital
2,The education centre,51.439484,-0.478887,Health,Hospital
3,Ashford Xray Department,51.443974,-0.4730287,Health,Hospital
4,Mri Department,51.44412,-0.476276,Health,Hospital
5,Cardiology Department,51.444009,-0.473676,Health,Hospital
6,Audiology Ashford Hospital,51.444238,-0.473518,Health,Hospital
7,Ashford Hospital Ent Department,51.44403,-0.4732721,Health,Hospital
8,Tennyson Unit Msk,51.44425,-0.4729992,Health,Hospital
9,Ashford Hospital Rheumatology Department,51.443963,-0.472487,Health,Hospital
10,Respiratory Department Ashford Hospital,51.444117,-0.473731,Health,Hospital
11,HILLINGDON HOSPITAL,51.527134,-0.462013,Health,Hospital
12,Hillingdon Hospital,51.526054123931175,-0.46108245849609375,Health,Hospital
13,Hillingdon Hospital Private Consulting Suite,51.52641,-0.460982,Health,Hospital
14,Transplant Outpatients,51.606574,-0.482567,Health,Hospital
15,Harefield Hospital,51.60679377918668,-0.48265674595531155,Health,Hospital
16,Sir William Gowers Centre,51.622935,-0.550182,Health,Hospital
17,National Society for Epilepsy,51.62121397938905,-0.55206298828125,Health,Hospital
19,Hayes cottage Hospice,51.521621,-0.423422,Health,Hospital
20,Hospital Santa Genoveva,51.53632886,-0.39014658,Health,Hospital
21,Mount Vernon X-Ray,51.566287525,-0.416163,Health,Hospital
22,BMI Bishops Wood Hospital,51.61642959836843,-0.44687172896555916,Health,Hospital
23,Mount Vernon Hospital,51.61580486079595,-0.44619083404541016,Health,Hospital
24,Outpatient Department,51.616512,-0.44568926,Health,Hospital
25,Hand Therapy Clinic,51.61692208016181,-0.4461424867068851,Health,Hospital
26,Minor Injuries Unit,51.615,-0.44567886,Health,Hospital
27,Mount Sobell House,51.614002,-0.44811097,Health,Hospital
28,Trinity Day Care,51.61492,-0.44582272,Health,Hospital
29,Paul Strickland Scanner Centre,51.614743,-0.446625,Health,Hospital
30,Mount Vernon Physiotherapy,51.61605,-0.446189,Health,Hospital
31,Molesey Hospital,51.397859387394696,-0.37251289606959237,Health,Hospital
