,Venue,Latitude,Longitude,Group,Category
0,Ickenham Miniature Railway,51.564085949303,-0.44207096099853516,Transport,Light_rail
1,Ruislip Lido Railway,51.588806484599665,-0.42940030897144116,Transport,Light_rail
2,Willow Lawn (RLR),51.592772,-0.431963,Transport,Light_rail
3,Malden DSME,51.381854114463174,-0.3324422540161441,Transport,Light_rail
4,Hampton and Kempton Waterworks Railway,51.42601911823001,-0.4063975811004638,Transport,Light_rail
5,Southern to Victoria Station,51.32980160887965,-0.2690480669604179,Transport,Light_rail
6,Mortlake Level Crossing,51.46780766030393,-0.26671457939032067,Transport,Light_rail
7,Kew Explorer Stop 1,51.478391,-0.291481,Transport,Light_rail
9,West Coast Mainline,51.533035,-0.271431,Transport,Light_rail
11,Sutton Model Engineering Club,51.383564,-0.2096619,Transport,Light_rail
15,Ealing to London Paddington,51.523912701395076,-0.21131062725771171,Transport,Light_rail
16,reading-London,51.3632698059082,-0.1931481957435608,Transport,Light_rail
18,lily Bridge 1 Middle,51.48784255981445,-0.19496700167655945,Transport,Light_rail
19,lily bridge 7 shed road,51.490048879554685,-0.2014019224688652,Transport,Light_rail
20,Lily Bridge Depot messroom,51.49092102050781,-0.20193253457546234,Transport,Light_rail
21,St Johns Wood Tunnel,51.52852139910206,-0.16655237274481208,Transport,Light_rail
22,11.20 London To Salisbury,51.494523579749156,-0.15558673655754027,Transport,Light_rail
24,The Toy,51.525415,-0.143811,Transport,Light_rail
25,1806 Banbury,51.523528,-0.163314,Transport,Light_rail
26,OMD UK Lift,51.52067798976046,-0.13423062969779884,Transport,Light_rail
28,Kennington Loop,51.487269,-0.106741,Transport,Light_rail
29,Peterborough station,51.493709564208984,-0.10002080351114273,Transport,Light_rail
30,Southwark Gates,51.50412899687778,-0.1079890470209677,Transport,Light_rail
31,Mail Rail,51.52472577186193,-0.11363983154296875,Transport,Light_rail
32,Bank London Underground and DLR Station,51.51339045553031,-0.08787007484867147,Transport,Light_rail
