objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,447157,531476,-1.27023,54.6762,0.0130378165513326,0.879441607281107
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.5447,0.00748186637893185,0.535699573291816
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00611,54.5675,0.0340060636060157,1.26669593611886
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30669,54.5569,0.0284723017647629,1.42406466146424
5,E06000005,Darlington, ,428029,515649,-1.56835,54.5354,0.0274288113336539,1.31679680567884
6,E06000006,Halton, ,354246,382146,-2.68853,53.3342,0.0106779947771162,0.952772647702665
7,E06000007,Warrington, ,362744,388456,-2.56167,53.3916,0.024410003619198,1.35313607755202
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,0.0186506124164251,0.745892667748574
9,E06000009,Blackpool, ,332763,436633,-3.02284,53.8216,0.0047597027675306,0.390391872278732
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.3038,53.7698,0.00973736996772632,0.782075309221197
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66203,53.8812,0.32881685993446,6.2049562542684
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13927,53.5234,0.0260146908859837,1.03964922886541
13,E06000013,North Lincolnshire, ,497798,410996,-0.5241,53.5864,0.114869674841748,2.94817488129708
14,E06000014,York, ,460864,452589,-1.07375,53.9658,0.0372360621496661,1.22876718450372
15,E06000015,Derby, ,435609,335375,-1.47189,52.9146,0.0104267744514089,0.602549660441107
16,E06000016,Leicester, ,458946,304594,-1.1304,52.6359,0.00974434282479755,0.607681823426552
17,E06000017,Rutland, ,492992,308655,-0.6263,52.6676,0.052309659833537,1.4634609295889
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.9542,0.00998018770771322,0.699826966473204
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.0815,0.286019923458643,4.06408942949404
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.7142,0.0386378057299925,1.38302152383459
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.0171,0.0125146404708893,0.722844725366393
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.356,0.0453336503133535,1.6567907057538
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.4711,0.014198259945559,1.27515926407785
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.3971,0.048396146886799,1.77250957850128
25,E06000025,South Gloucestershire, ,367559,183196,-2.46922,51.5467,0.0644111704547894,1.65575937875333
26,E06000026,Plymouth, ,249944,58255,-4.11299,50.4049,0.0100929464983019,1.06836379292888
27,E06000027,Torbay, ,289730,64608,-3.55523,50.4709,0.00796641543749951,0.852522851763006
28,E06000028,Bournemouth, ,410069,93928,-1.85864,50.7449,0.00588732091381608,0.581684367644558
29,E06000029,Poole, ,403393,93466,-1.95327,50.7408,0.00825017465215559,0.84125640396859
30,E06000030,Swindon, ,418551,186564,-1.73367,51.5776,0.0298436135657394,1.17807296666205
31,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921,0.0455643944927687,1.38434114635505
32,E06000032,Luton, ,508606,222559,-0.42319,51.891,0.0056621001445949,0.418620736726344
33,E06000033,Southend-on-Sea, ,587776,186833,0.706906,51.5491,0.00540790868329882,0.543100992690294
34,E06000034,Thurrock, ,562126,181586,0.334902,51.5099,0.0211558900168939,1.11534094806505
35,E06000035,Medway, ,578207,175196,0.563173,51.4477,0.0249914520657336,2.17312012776095
36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,0.0141298148275292,0.72448182147169
37,E06000037,West Berkshire, ,450575,172095,-1.27364,51.4456,0.0910858261072546,1.97863739666331
38,E06000038,Reading, ,470226,173154,-0.99071,51.453,0.00522391397271683,0.453671641643696
39,E06000039,Slough, ,498920,179246,-0.57617,51.5035,0.00421358346425946,0.52445797586347
40,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.4803,0.0256829874663414,1.33166047087846
41,E06000041,Wokingham, ,476624,169902,-0.89935,51.423,0.0231388153069776,0.993179703217469
42,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.0724,0.0404787192859862,1.20947783750723
43,E06000043,Brighton and Hove, ,530279,106849,-0.15079,50.8465,0.0105705987704254,0.692396745766436
44,E06000044,Portsmouth, ,465607,101357,-1.07023,50.808,0.00515050494551,0.695785939413603
45,E06000045,Southampton, ,442253,113608,-1.40025,50.9204,0.00638419722937612,0.666580661024137
46,E06000046,Isle of Wight, ,447186,85950,-1.33362,50.6713,0.0483751527862008,2.19196777028679
47,E06000047,County Durham, ,410381,532242,-1.8405,54.6851,0.311062939582447,3.84144383341572
48,E06000049,Cheshire East, ,380510,363462,-2.29299,53.1679,0.156833792791248,3.50344861123924
49,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.1634,0.123301499721288,3.67014831644507
50,E06000051,Shropshire, ,350227,302960,-2.73667,52.6221,0.424585700620401,6.77067246971328
51,E06000052,Cornwall, ,212501,64494,-4.64249,50.4502,0.44864674430206,12.9032873733947
52,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.9233,0.00204847542820992,1.2091479459858
53,E06000054,Wiltshire, ,405209,158863,-1.92661,51.3288,0.419737535016433,4.59903755169101
54,E06000055,Bedford, ,505721,256463,-0.45463,52.1963,0.0626170126570091,1.53142848885558
55,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.999,0.0936775395015251,2.72005317064429
56,E06000057,Northumberland, ,395323,600699,-2.07521,55.3004,0.710093801282554,7.16053984583774
57,E07000004,Aylesbury Vale, ,477330,223021,-0.87746,51.9004,0.117890152359764,2.83855797015295
58,E07000005,Chiltern, ,495432,198692,-0.62112,51.6789,0.0255258668569623,0.997023982950151
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.5594,0.0183138541147244,0.975610308093825
60,E07000007,Wycombe, ,482477,197052,-0.80883,51.6662,0.042169905240776,1.30142275395734
61,E07000008,Cambridge, ,545420,257901,0.126436,52.2002,0.00535033930491389,0.443842635897779
62,E07000009,East Cambridgeshire, ,555577,275765,0.283163,52.3579,0.0858775032758475,2.77718881383283
63,E07000010,Fenland, ,536361,294959,0.009016,52.5354,0.0724204630439563,2.24957598924153
64,E07000011,Huntingdonshire, ,521010,274271,-0.22467,52.3532,0.120434770106178,2.62408236799175
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.1081,0.118452932560851,3.05305354097746
66,E07000026,Allerdale, ,317516,532995,-3.28096,54.6852,0.175343311871292,4.00493347097783
67,E07000027,Barrow-in-Furness, ,321750,474171,-3.19976,54.1574,0.0107209719459722,1.35996086869733
68,E07000028,Carlisle, ,348444,565195,-2.80705,54.9787,0.145828601592026,3.42334263106353
69,E07000029,Copeland, ,310871,508741,-3.37664,54.4662,0.102125418189853,2.68252424599702
70,E07000030,Eden, ,359636,526396,-2.62678,54.6311,0.299989468808545,3.27505993169859
71,E07000031,South Lakeland, ,349265,489554,-2.78108,54.2991,0.214452801922642,4.57511497660028
72,E07000032,Amber Valley, ,436166,348084,-1.46219,53.0288,0.0355641518397575,1.27081504772487
73,E07000033,Bolsover, ,448666,371548,-1.27228,53.2388,0.0215785422893796,1.10636396750463
74,E07000034,Chesterfield, ,440049,373359,-1.40115,53.2557,0.00889382574106592,0.63266791556396
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.1233,0.106830761116352,2.83173509232958
76,E07000036,Erewash, ,443721,338063,-1.3509,52.9382,0.0146583666874437,0.879427633135653
77,E07000037,High Peak, ,410474,387660,-1.84398,53.3857,0.0729677357132332,1.86042703535223
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.1624,0.0371058048101218,1.89645444851963
79,E07000039,South Derbyshire, ,431434,325365,-1.53494,52.8249,0.0450988382516577,1.97615725184449
80,E07000040,East Devon, ,313775,96055,-3.22381,50.7576,0.103812465779823,2.52017858347067
81,E07000041,Exeter, ,293236,92003,-3.51372,50.7178,0.0059897571235609,0.538872434170718
82,E07000042,Mid Devon, ,288064,108911,-3.59212,50.8688,0.116606028396782,2.85883147381169
83,E07000043,North Devon, ,265110,132524,-3.92691,51.0761,0.13927599751767,3.43924750468372
84,E07000044,South Hams, ,270677,54033,-3.81994,50.3719,0.112051374696002,5.09649832617398
85,E07000045,Teignbridge, ,283069,80251,-3.65396,50.6102,0.0855942496644296,2.11621178204911
86,E07000046,Torridge, ,244206,114405,-4.21731,50.908,0.125858576451505,3.51976006179445
87,E07000047,West Devon, ,256379,86998,-4.03357,50.6649,0.147596325129371,2.75627306971164
88,E07000048,Christchurch, ,413093,96313,-1.8157,50.7663,0.00642478784552577,0.72797371040226
89,E07000049,East Dorset, ,401685,109966,-1.9774,50.8892,0.0452771790324118,1.5844689890777
90,E07000050,North Dorset, ,381794,113407,-2.26037,50.9198,0.0779120856119322,1.83909082959967
91,E07000051,Purbeck, ,391183,88321,-2.12618,50.6945,0.0514591285214257,2.48648239460479
92,E07000052,West Dorset, ,357765,99663,-2.60061,50.795,0.137942387235797,3.31237016021245
93,E07000053,Weymouth and Portland, ,368175,81510,-2.45134,50.6324,0.00531426125167358,0.801364994471224
94,E07000061,Eastbourne, ,559351,99605,0.258699,50.7741,0.0056266325103497,0.404009866838905
95,E07000062,Hastings, ,581599,110745,0.579429,50.8677,0.00379481394341755,0.411644689924561
96,E07000063,Lewes, ,541474,105685,0.007671,50.8334,0.0373078497490858,1.88767456603696
97,E07000064,Rother, ,578730,119663,0.543064,50.9487,0.0654477333407803,2.0663493031187
98,E07000065,Wealden, ,555048,117173,0.205153,50.9332,0.106837897723172,2.55280804183264
99,E07000066,Basildon, ,571548,190848,0.475055,51.5904,0.0142649729000837,0.822589802275452
100,E07000067,Braintree, ,577253,227335,0.575911,51.9163,0.0799245042172875,1.93212396827729
101,E07000068,Brentwood, ,558560,196070,0.290091,51.6411,0.0198796519122977,0.823309544854625
102,E07000069,Castle Point, ,579490,187921,0.588084,51.5616,0.00583414511324853,0.826256703899452
103,E07000070,Chelmsford, ,572115,206972,0.491163,51.735,0.0445111303582837,1.41449136416814
104,E07000071,Colchester, ,596944,223692,0.859776,51.877,0.0434558013369193,2.42458652401449
105,E07000072,Epping Forest, ,548919,203758,0.154147,51.7128,0.0440736527735124,1.41440823690972
106,E07000073,Harlow, ,545276,209589,0.103888,51.7661,0.00397489610594262,0.336059202914258
107,E07000074,Maldon, ,591460,212199,0.773857,51.7757,0.0466093923989138,3.86894851594351
108,E07000075,Rochford, ,585981,191420,0.683473,51.5909,0.021956749771651,2.10772969376789
109,E07000076,Tendring, ,614203,222163,1.10918,51.8569,0.044047349800579,2.66037630052345
110,E07000077,Uttlesford, ,557832,228865,0.294485,51.9359,0.0837687293668676,1.92073521281026
111,E07000078,Cheltenham, ,394925,222232,-2.07515,51.8986,0.00608328334765458,0.431775076982045
112,E07000079,Cotswold, ,402125,208209,-1.97059,51.7725,0.151857870124143,3.83737290729139
113,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.8125,0.06865965044676,2.16621515010298
114,E07000081,Gloucester, ,384071,216449,-2.23263,51.8464,0.00529116221557942,0.391574021471654
115,E07000082,Stroud, ,378806,202410,-2.3082,51.72,0.0599600566675624,2.01967386417692
116,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.9348,0.0541921973685729,2.41525187736595
117,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.2594,0.0816706260863303,1.69470768227497
118,E07000085,East Hampshire, ,474404,129237,-0.93971,51.0577,0.0660039186232808,1.64206539280469
119,E07000086,Eastleigh, ,447202,116802,-1.32943,50.9487,0.0102079354306673,0.828452724839091
120,E07000087,Fareham, ,453774,106324,-1.23742,50.8539,0.0094832058914678,0.730677965543434
121,E07000088,Gosport, ,458773,101094,-1.16725,50.8064,0.0032357686575164,0.447196020886102
122,E07000089,Hart, ,477985,154240,-0.88321,51.282,0.0277433731595263,0.906988284577686
123,E07000090,Havant, ,470177,108563,-1.004,50.8723,0.00706602585808643,1.08459955562275
124,E07000091,New Forest, ,428999,106521,-1.58936,50.8575,0.0961832283946064,3.02651137348466
125,E07000092,Rushmoor, ,486022,153944,-0.76807,51.2781,0.00503157163485199,0.349178217942025
126,E07000093,Test Valley, ,434930,137329,-1.50214,51.1342,0.0806266884061205,2.14592699984981
127,E07000094,Winchester, ,453115,125901,-1.24393,51.03,0.0847261946056926,1.97780668567067
