,Venue,Latitude,Longitude,Group,Category
0,Stanwell Park,51.456872546102524,-0.47895748622744533,Well-Being,Park
1,Stanwell Moor Play Park,51.461531215682115,-0.500172916971245,Well-Being,Park
2,Woodthorpe Recreation Ground,51.432424677923144,-0.4789996147155761,Well-Being,Park
3,Bedfont Lakes Country Park,51.44114201212976,-0.4522848129272461,Well-Being,Park
4,Scott Freeman Garden,51.43752,-0.4692052,Well-Being,Park
5,09 Left Mound,51.474443,-0.496461,Well-Being,Park
6,Pippins Park,51.48131635021365,-0.5123285753625988,Well-Being,Park
7,Harvey Park,51.49712553672332,-0.536031566003829,Well-Being,Park
9,The Close's Park,51.49660845172594,-0.4755139384995954,Well-Being,Park
10,Ditton Park,51.49031328209984,-0.5539449332301145,Well-Being,Park
11,Waterside Parkland,51.48630472904793,-0.4867702652136978,Well-Being,Park
12,Langley Memorial Park,51.50633217054848,-0.5366365452103631,Well-Being,Park
13,Potters Field,51.488495,-0.48057172,Well-Being,Park
15,Cowley Recreation Park,51.52819860463229,-0.4826003180516247,Well-Being,Park
16,Pield Heath,51.521811,-0.47329,Well-Being,Park
17,Connaught Recreation Ground,51.527517153843974,-0.44332635106887136,Well-Being,Park
18,Hillingdon Court Park,51.54169355122564,-0.4484411037417141,Well-Being,Park
19,st peters road Park,51.523414820396994,-0.4750219702613613,Well-Being,Park
20,dukes park,51.5151346398694,-0.4766808814499709,Well-Being,Park
21,Knights Gardens,51.52750071506177,-0.4397014647191849,Well-Being,Park
22,Bicentenary Gardens,51.5334998265696,-0.47476193315941534,Well-Being,Park
23,Yiewsley Community Grounds,51.514201400914885,-0.4745201135859136,Well-Being,Park
24,Fassnidge Park,51.546759808730954,-0.48420775067870525,Well-Being,Park
26,Coney Green,51.53295341537149,-0.4527105829966057,Well-Being,Park
27,Rockingham Recreation Ground,51.54115438670863,-0.48531436806855993,Well-Being,Park
28,Iver Park & Recreation Ground,51.51945250608491,-0.5131017739178385,Well-Being,Park
29,porters way park,51.50366973876953,-0.46686646342277527,Well-Being,Park
30,Dowding Park,51.544716,-0.468169,Well-Being,Park
31,The Grove Nature Reserve,51.5293,-0.4616,Well-Being,Park
32,Uxbridge Recreation Park,51.54306561858957,-0.48497557640075684,Well-Being,Park
33,Hayes End Recreation Ground,51.52530138404062,-0.4399979400834752,Well-Being,Park
34,Park,51.526863,-0.446425,Well-Being,Park
