,Venue,Latitude,Longitude,Group,Category
0,Tesco Ashford Pharmacy,51.445145606733426,-0.4731589329964485,Health,Pharmacy
1,Boots,51.46958313647812,-0.4483469499163173,Health,Pharmacy
2,Boots,51.459502953025556,-0.4482562728437511,Health,Pharmacy
3,Boots,51.470376218835945,-0.4586560007725273,Health,Pharmacy
4,Boots,51.471741261025635,-0.4574041941593617,Health,Pharmacy
5,Boots,51.47029596564966,-0.48138742746241586,Health,Pharmacy
6,Boots,51.47097541687408,-0.4761038370289939,Health,Pharmacy
7,Boots,51.47292322450084,-0.4876899719238281,Health,Pharmacy
8,Boots,51.471535,-0.48727256,Health,Pharmacy
9,Superdrug,51.43560754967183,-0.46647133541770786,Health,Pharmacy
10,Boots,51.433372417401266,-0.46394858391641525,Health,Pharmacy
11,LloydsPharmacy,51.43243313077523,-0.4614776122684816,Health,Pharmacy
12,Colnbrook Pharmacy,51.48604341571338,-0.5267401813652205,Health,Pharmacy
14,Willow Pharmacy,51.50341258129756,-0.5410949820505994,Health,Pharmacy
15,Brunel Pharmacy,51.533324,-0.474086,Health,Pharmacy
16,Joshi Pharmacy,51.521898,-0.446115,Health,Pharmacy
17,Superdrug,51.54634763908247,-0.47944928843248125,Health,Pharmacy
18,Boots,51.54548899384484,-0.47737807630937823,Health,Pharmacy
19,LloydsPharmacy,51.5201145349954,-0.5057365791836901,Health,Pharmacy
20,Boots,51.54643512880015,-0.4788172245025635,Health,Pharmacy
21,Savers,51.546329331355,-0.4802998624068292,Health,Pharmacy
22,Lawton Pharmacy,51.53311576716417,-0.4533389210700989,Health,Pharmacy
23,Boots,51.50908734476154,-0.47371423047976424,Health,Pharmacy
25,Jeeves,51.543050295471694,-0.5210949121004121,Health,Pharmacy
28,Boots,51.579712124935384,-0.49996004943749706,Health,Pharmacy
30,The Pharmacy,51.598802,-0.483275,Health,Pharmacy
31,Heaton Caffin Optomotrist,51.636289,-0.483508,Health,Pharmacy
32,Delite Chemist,51.636268,-0.48361,Health,Pharmacy
33,V. Dave Pharmacy,51.63769049685373,-0.48200368881225586,Health,Pharmacy
34,Boots,51.42689875738262,-0.44230303469003035,Health,Pharmacy
35,Vantage Chemist,51.427532,-0.453745,Health,Pharmacy
36,Tesco Pharmacy,51.419435,-0.427021,Health,Pharmacy
37,Hive Pharmacy,51.4251,-0.48271748,Health,Pharmacy
39,Boots,51.419040691138534,-0.4213670833003765,Health,Pharmacy
42,LloydsPharmacy,51.409672125847685,-0.4123652527583701,Health,Pharmacy
43,Boots,51.45636017899573,-0.4089939594268799,Health,Pharmacy
48,Boots,51.45371274291277,-0.42934656143188477,Health,Pharmacy
49,Herbert And Herbert,51.46187783192537,-0.3817230614284515,Health,Pharmacy
50,Dunn's pharmacy,51.47955651808341,-0.41103817517712626,Health,Pharmacy
51,Rowlands Pharmacy,51.44515,-0.3999016,Health,Pharmacy
52,Boots,51.45026449462267,-0.3791731595993042,Health,Pharmacy
53,Boots,51.44647553275356,-0.4104955759779921,Health,Pharmacy
54,Boots,51.44071401144489,-0.3880727291107178,Health,Pharmacy
55,Superdrug,51.446083797195506,-0.4100680913250848,Health,Pharmacy
56,Boots,51.430822,-0.389537,Health,Pharmacy
57,Village Pharmacy,51.487542,-0.435892,Health,Pharmacy
61,Superdrug,51.50678462176389,-0.4187113752675401,Health,Pharmacy
63,Boots,51.506025624520824,-0.41908261662332585,Health,Pharmacy
64,Hayes Health Foods,51.519372,-0.411783,Health,Pharmacy
66,LloydsPharmacy,51.515473,-0.403495,Health,Pharmacy
