,Venue,Latitude,Longitude,Group,Category
0,Hydrotherapy Pool,51.439649474573784,-0.4788824281329651,Well-Being,Pool
1,Fitness And Spa,51.477423,-0.517649,Well-Being,Pool
2,Swimming pool - Crowne Plaza Hotel,51.505856,-0.460932,Well-Being,Pool
3,William Penn Leisure Centre,51.63926884040095,-0.49863379629101695,Well-Being,Pool
4,Sunbury Leisure Centre,51.41476438105484,-0.4214772975576973,Well-Being,Pool
5,Staines Swimming Club Cygnet Pool,51.42687210872423,-0.4829371502786679,Well-Being,Pool
7,Staines Swimming Club Black Hats,51.41042067478551,-0.4276943127578275,Well-Being,Pool
8,Swimming Swimming Pool,51.48163120573271,-0.4364519599191757,Well-Being,Pool
9,Harlington Sports Centre,51.49721095214068,-0.4367310121009238,Well-Being,Pool
10,Aquatic Centre,51.47225512306149,-0.45120676482195554,Well-Being,Pool
13,Hillingdon Sports & Leisure Complex,51.55167388967325,-0.46750479681564444,Well-Being,Pool
14,ruislip snorkel club,51.579969,-0.409593,Well-Being,Pool
15,RNIB Sunshine House School Swimming Pool,51.61426479121843,-0.43292572465948986,Well-Being,Pool
17,Hampton Outdoor Pool,51.41848295360815,-0.3580526512764842,Well-Being,Pool
18,Claygate Primary School Outdoor Pool,51.3583984375,-0.3434126079082489,Well-Being,Pool
19,Hurst Pool,51.40571019088672,-0.3635476767114655,Well-Being,Pool
23,The Continental Hotel Pool,51.469300989701175,-0.36606788635253906,Well-Being,Pool
24,Springboard Swimmers,51.442062,-0.332044,Well-Being,Pool
25,Aquastars,51.442750781005714,-0.3426037652406235,Well-Being,Pool
27,Hatch End Swimming Pool,51.607460715257176,-0.36272614260245,Well-Being,Pool
28,Sir James Altham Swimming Pool,51.618665205262936,-0.38313666710673605,Well-Being,Pool
30,City Of Freemans School Swimming Pool,51.3079879387691,-0.28794050216674805,Well-Being,Pool
31,Colin Bull Swimming,51.29998,-0.313974,Well-Being,Pool
32,Savannah Splash Pool & Gym,51.349846,-0.316543,Well-Being,Pool
34,Inside The River,51.40848946586641,-0.3054595530743847,Well-Being,Pool
35,Kingfisher Swimming Pool,51.40664249443139,-0.3004989951023291,Well-Being,Pool
36,Lensbury Pool,51.427991114192345,-0.3188380630428358,Well-Being,Pool
40,Ham lake,51.437772965829254,-0.32401952025434233,Well-Being,Pool
41,Teddington Swimming Pool,51.42765653370248,-0.3316131043715182,Well-Being,Pool
44,Teddington hydrotherapy,51.427842,-0.331128,Well-Being,Pool
45,richmond outdoor swimming pool,51.46461486816406,-0.30100348591804504,Well-Being,Pool
46,Pools on the Park,51.4650501776993,-0.30637264251708984,Well-Being,Pool
47,montrose house,51.446135,-0.301889,Well-Being,Pool
48,AKPS Fitness & Spa,51.52448480058448,-0.2942613088886722,Well-Being,Pool
49,Acton Swimming Baths,51.5066468206759,-0.2669414931180654,Well-Being,Pool
50,Mandeville School Swimming Pool,51.550350189208984,-0.33693137764930725,Well-Being,Pool
51,Stanmore common ponds,51.62477549180624,-0.32156494523622137,Well-Being,Pool
52,Aspire Swimming Pool,51.630473525518966,-0.31165921552544856,Well-Being,Pool
53,Aqua Vie Swimming Lessons at Meadow Wood School,51.648444212742376,-0.3497963331168092,Well-Being,Pool
54,The Venue Swimming Pool,51.65907324932337,-0.269116566440009,Well-Being,Pool
55,Morden Leisure Centre,51.394911,-0.204984,Well-Being,Pool
56,Malden Centre,51.400253693581945,-0.2530013975999468,Well-Being,Pool
57,The Baby Swimming Company,51.40348980271238,-0.21277672446827595,Well-Being,Pool
58,Perseid Upper School Swimming Pool,51.390433,-0.196352,Well-Being,Pool
59,Malden Centre Pool,51.40033124602433,-0.2531568982624548,Well-Being,Pool
60,Outdoor Pool,51.40558042880858,-0.22284119360989305,Well-Being,Pool
63,Swimway Upper Richmond,51.463152,-0.227134,Well-Being,Pool
64,The Elizabeth Pool Wimbledon Park,51.435756,-0.203415,Well-Being,Pool
65,PLC swimming Pool,51.463877105756396,-0.23416416377932597,Well-Being,Pool
66,St Paul's School Swimming Pool,51.4807636,-0.2473862,Well-Being,Pool
67,Virgin Active Pool & Spa,51.46220631848991,-0.18982666210818044,Well-Being,Pool
68,Children's Water Play Area,51.480305,-0.254624,Well-Being,Pool
69,London Baby Swim,51.45679652962788,-0.19637193883287254,Well-Being,Pool
70,The Outdoor Pool at The Hurlingham Club,51.465999166324096,-0.203047178402944,Well-Being,Pool
71,SwimWay East Sheen,51.46582661431131,-0.2574803555613766,Well-Being,Pool
72,Laura Sevenus,51.49486202359127,-0.2464907417441354,Well-Being,Pool
76,Richmond Swimming Pool,51.49325092213218,-0.2240853962114671,Well-Being,Pool
78,Better Phoenix Fitness Centre and Janet Adegoke Swimming Pool,51.51251716413394,-0.23590719044402217,Well-Being,Pool
79,London School of Diving,51.493672106683064,-0.27889870862831007,Well-Being,Pool
80,Frutina Swim Centre,51.516772583290866,-0.22115548577366856,Well-Being,Pool
81,Porchester Centre,51.51688492551467,-0.18900432229875236,Well-Being,Pool
82,Better Kensington Leisure Centre,51.51362917410843,-0.214301423274203,Well-Being,Pool
85,VA Swimming Pool,51.516296,-0.21157,Well-Being,Pool
86,Frutina Swim Centre,51.51578027692446,-0.21977233175540795,Well-Being,Pool
87,SPGS Swimming Pool,51.496195,-0.221154,Well-Being,Pool
88,Royal Free Hospital Hydrotherapy Pool,51.531226,-0.216167,Well-Being,Pool
89,Barnet Copthall,51.608192443847656,-0.2093524932861328,Well-Being,Pool
90,The Martin Swimming Pool,51.655596088294374,-0.2136108678507365,Well-Being,Pool
91,Whitings Hill School,51.645067,-0.218241,Well-Being,Pool
92,Millridge Pool,51.645758975189885,-0.20632585456638095,Well-Being,Pool
93,QEGS Swimming Pool,51.65221736612747,-0.19567251205444336,Well-Being,Pool
