,Venue,Latitude,Longitude,Group,Category
0,Heathrow High Street - Terminal 3,51.470372,-0.458684,Dailyneeds,Shopping_Mall
1,intu Uxbridge,51.54561049157136,-0.4769518083421759,Dailyneeds,Shopping_Mall
2,Pavilions,51.5463002385277,-0.4807884275345185,Dailyneeds,Shopping_Mall
3,Market House,51.546015,-0.479032,Dailyneeds,Shopping_Mall
7,Sunbury Cross,51.41962971688835,-0.42101248961796095,Dailyneeds,Shopping_Mall
8,The Centre,51.44734881157306,-0.4114386970500434,Dailyneeds,Shopping_Mall
11,Stella Consumer,51.51794820014197,-0.39500003975310854,Dailyneeds,Shopping_Mall
15,Swan Shopping Centre,51.295543376525,-0.3287959098815918,Dailyneeds,Shopping_Mall
17,Treaty Shopping Centre,51.46794223361444,-0.36319693035534606,Dailyneeds,Shopping_Mall
18,Himalaya Shopping Centre,51.5111667263189,-0.37840107499258047,Dailyneeds,Shopping_Mall
21,St George's Centre,51.58149908945307,-0.3390446906120507,Dailyneeds,Shopping_Mall
22,St Ann's Shopping Centre,51.58075838179683,-0.3366170426237133,Dailyneeds,Shopping_Mall
23,Pickwick Walk,51.61285067211369,-0.3731506850481508,Dailyneeds,Shopping_Mall
25,The Ashley Centre,51.33220509090442,-0.2692078578735914,Dailyneeds,Shopping_Mall
26,Eden Walk Shopping Centre,51.409870001951866,-0.30333951807968246,Dailyneeds,Shopping_Mall
27,The Bentall Centre,51.41163811961829,-0.30475465779443844,Dailyneeds,Shopping_Mall
28,Cloisters Mall,51.410301,-0.30418,Dailyneeds,Shopping_Mall
32,Ealing Broadway Shopping Centre,51.51237157693676,-0.30305206775665283,Dailyneeds,Shopping_Mall
33,Ealing Broadway,51.512981,-0.303368,Dailyneeds,Shopping_Mall
34,"The Mall, Ealing",51.513174,-0.297322,Dailyneeds,Shopping_Mall
35,Arcadia Centre,51.51372900258542,-0.30395267319434305,Dailyneeds,Shopping_Mall
39,Oaks Shopping Centre,51.507298856043654,-0.2698227244998494,Dailyneeds,Shopping_Mall
41,Ealing Common - Station Parade,51.51032167507244,-0.28791479618783,Dailyneeds,Shopping_Mall
44,Grocery Store,51.584510803222656,-0.29751816391944885,Dailyneeds,Shopping_Mall
45,The Broadwalk Centre Edgware,51.61237952117659,-0.27532870861277703,Dailyneeds,Shopping_Mall
47,Putney Exchange,51.46392567462044,-0.2164486626581241,Dailyneeds,Shopping_Mall
48,Southside Shopping Centre,51.455390123069634,-0.1928845165578743,Dailyneeds,Shopping_Mall
49,Euro Hange,51.46406,-0.21586753,Dailyneeds,Shopping_Mall
50,Snuggles,51.463463,-0.21624908,Dailyneeds,Shopping_Mall
51,Plaza N22,51.492098283261775,-0.27841124557830493,Dailyneeds,Shopping_Mall
52,Poundland,51.49301,-0.22877666,Dailyneeds,Shopping_Mall
54,Kings Mall,51.492976207302334,-0.22720199415494507,Dailyneeds,Shopping_Mall
55,Hammersmith Broadway Shopping Centre,51.49200026921131,-0.22372967246697162,Dailyneeds,Shopping_Mall
56,West 12,51.50372211378067,-0.21914956538239494,Dailyneeds,Shopping_Mall
57,The Village,51.50642549566286,-0.21969486723725903,Dailyneeds,Shopping_Mall
58,Westfield London,51.507393568437536,-0.2213573455810547,Dailyneeds,Shopping_Mall
59,The Atrium,51.50729528915783,-0.221163555914398,Dailyneeds,Shopping_Mall
60,Neasden Shoppping Centre,51.559730022536286,-0.250441685751178,Dailyneeds,Shopping_Mall
61,Brent Cross Shopping Centre,51.57666948203299,-0.2241683006286621,Dailyneeds,Shopping_Mall
62,Wembley Park Market,51.559194,-0.279503,Dailyneeds,Shopping_Mall
64,Mailboxes Etc.,51.614086,-0.24863,Dailyneeds,Shopping_Mall
67,The Spires,51.65519586229026,-0.20171950160270705,Dailyneeds,Shopping_Mall
68,Times Square Shopping Centre,51.36351475348624,-0.19275426864624023,Dailyneeds,Shopping_Mall
69,St Nicholas Centre,51.36488287228893,-0.1944785521178471,Dailyneeds,Shopping_Mall
70,Centre Court Shopping Centre,51.421117012968594,-0.20489849287810571,Dailyneeds,Shopping_Mall
71,Tooting Shopping Mall,51.4317064,-0.1642883,Dailyneeds,Shopping_Mall
72,ShopStop,51.463693518472425,-0.16910428319043846,Dailyneeds,Shopping_Mall
75,Gloucester Arcade,51.4945361548606,-0.18287000170820705,Dailyneeds,Shopping_Mall
77,Fulham Broadway Shopping Centre,51.480280830700245,-0.194502270203633,Dailyneeds,Shopping_Mall
81,Fullham Broadway Mall,51.48085320603165,-0.19013537509474723,Dailyneeds,Shopping_Mall
84,Lancer Square,51.5031003717109,-0.19114255933263438,Dailyneeds,Shopping_Mall
85,Outlet Centre,51.509453,-0.197298,Dailyneeds,Shopping_Mall
86,Ted Baker,51.49902,-0.1621268,Dailyneeds,Shopping_Mall
87,Kings Walk Shopping Centre,51.49042173405224,-0.16274534487705244,Dailyneeds,Shopping_Mall
