,Venue,Latitude,Longitude,Group,Category
0,Tesco Extra,51.4452072,-0.4728148,Dailyneeds,Supermarket
1,Waitrose & Partners,51.49021459999999,-0.4733827,Dailyneeds,Supermarket
2,Tesco Esso Express,51.52248522242174,-0.48111006288081626,Dailyneeds,Supermarket
3,Sainsbury's,51.548657486178456,-0.4746943018777783,Dailyneeds,Supermarket
4,Lidl,51.5351273844068,-0.482389070859824,Dailyneeds,Supermarket
5,Aldi,51.514949020287304,-0.4745717889774839,Dailyneeds,Supermarket
6,Morrisons,51.5120034458378,-0.47270095940696094,Dailyneeds,Supermarket
7,Sainsbury's Local,51.504745843392094,-0.4589230817290968,Dailyneeds,Supermarket
8,Lidl,51.5459042496696,-0.476741079934429,Dailyneeds,Supermarket
11,Tesco Extra,51.4173546,-0.424893,Dailyneeds,Supermarket
12,Waitrose & Partners,51.42807761,-0.46948615,Dailyneeds,Supermarket
13,Tesco,51.4597273,-0.4148962,Dailyneeds,Supermarket
14,Asda,51.4465138,-0.4117342,Dailyneeds,Supermarket
15,Aldi,51.443888990642975,-0.4116933123672197,Dailyneeds,Supermarket
16,Tesco,51.443481,-0.4130872,Dailyneeds,Supermarket
17,Lidl,51.44843473522586,-0.40924592558647416,Dailyneeds,Supermarket
18,Polianna,51.45298,-0.431301,Dailyneeds,Supermarket
19,Iceland,51.48181394719168,-0.40739690521096306,Dailyneeds,Supermarket
21,Asda,51.5011676,-0.4251995,Dailyneeds,Supermarket
24,Lidl,51.5086581110589,-0.419618427254408,Dailyneeds,Supermarket
25,Lidl,51.5188283379626,-0.410283382960774,Dailyneeds,Supermarket
26,Sainsbury's,51.515342,-0.4035,Dailyneeds,Supermarket
28,Tesco Extra,51.49904224690196,-0.4076474905014038,Dailyneeds,Supermarket
29,Tesco Extra,51.5246659,-0.3856697,Dailyneeds,Supermarket
31,Lidl,51.5346072335526,-0.388890540356683,Dailyneeds,Supermarket
33,Waitrose & Partners,51.57134366861113,-0.42295721453774604,Dailyneeds,Supermarket
36,Nisa Local,51.60265554654734,-0.41022883273387833,Dailyneeds,Supermarket
37,Aldi,51.578953,-0.399332,Dailyneeds,Supermarket
38,Tesco,51.596881,-0.3959728,Dailyneeds,Supermarket
40,Sainsbury's,51.59336363343396,-0.38065161007223125,Dailyneeds,Supermarket
41,Lidl,51.5957175835907,-0.38543757035781,Dailyneeds,Supermarket
42,Waitrose & Partners,51.611172897552784,-0.424295217283543,Dailyneeds,Supermarket
43,Tesco,51.6333424,-0.4704343,Dailyneeds,Supermarket
45,Waitrose & Partners,51.641044,-0.469038,Dailyneeds,Supermarket
46,Tesco,51.3121481,-0.3357482,Dailyneeds,Supermarket
47,Sainsbury's,51.29576365632602,-0.32765326381106963,Dailyneeds,Supermarket
48,Lidl,51.2958647925206,-0.331146268293112,Dailyneeds,Supermarket
49,Waitrose & Partners,51.294625557429825,-0.329275155837081,Dailyneeds,Supermarket
50,Sainsbury's Local,51.29653333832051,-0.3559858294477425,Dailyneeds,Supermarket
51,Thames Food & Wine,51.391373599319955,-0.3330167933962149,Dailyneeds,Supermarket
52,Tesco,51.4078432,-0.3682725,Dailyneeds,Supermarket
53,Waitrose & Partners,51.36796492323856,-0.36713995725006043,Dailyneeds,Supermarket
54,Waitrose & Partners,51.3773937,-0.3458921,Dailyneeds,Supermarket
55,Sainsbury's,51.426428442019116,-0.3776228427886963,Dailyneeds,Supermarket
58,Sainsbury's,51.43432851203355,-0.3755361618956399,Dailyneeds,Supermarket
59,Lidl,51.45226587,-0.3582147,Dailyneeds,Supermarket
60,Waitrose & Partners,51.44839334875483,-0.32898131286276566,Dailyneeds,Supermarket
62,Asda,51.4708177,-0.3616049,Dailyneeds,Supermarket
63,Sainsbury's Local,51.4514926580104,-0.3576825733194666,Dailyneeds,Supermarket
64,Sainsbury's Local,51.47495453,-0.33842708,Dailyneeds,Supermarket
65,Asda,51.4591073,-0.3316914,Dailyneeds,Supermarket
66,Sainsbury's Local,51.444682720456946,-0.3412245379103007,Dailyneeds,Supermarket
67,Sainsbury's Local,51.48036716,-0.37329,Dailyneeds,Supermarket
68,Tesco Extra,51.458622,-0.3375606,Dailyneeds,Supermarket
69,Aldi,51.46753872853642,-0.3718158563473343,Dailyneeds,Supermarket
70,Riverside Supermarket,51.43918726119238,-0.3323906166993337,Dailyneeds,Supermarket
71,Coop,51.43629,-0.351932,Dailyneeds,Supermarket
74,Lidl,51.5108282255883,-0.373323636018627,Dailyneeds,Supermarket
77,Morrisons,51.472502873749974,-0.38548018455926775,Dailyneeds,Supermarket
78,Lidl,51.5273479222046,-0.351162825998294,Dailyneeds,Supermarket
79,Waitrose & Partners,51.513028966783274,-0.32136790968138484,Dailyneeds,Supermarket
80,Tesco,51.5337647,-0.3186653,Dailyneeds,Supermarket
81,Lidl,51.5086421125258,-0.336470163144065,Dailyneeds,Supermarket
82,Sainsbury's,51.50924174951003,-0.32539083405401126,Dailyneeds,Supermarket
84,Lidl,51.50995049,-0.32434764,Dailyneeds,Supermarket
86,Lidl,51.54192681,-0.34029504,Dailyneeds,Supermarket
88,Istanbul Gate,51.51034720000001,-0.3222026,Dailyneeds,Supermarket
89,Al-Raghif Supermarket,51.52743541533502,-0.35200264770698175,Dailyneeds,Supermarket
90,Maja Polish Shop,51.542321,-0.346132,Dailyneeds,Supermarket
91,Lidl,51.50656779507602,-0.32179621100991646,Dailyneeds,Supermarket
92,Lidl,51.558322,-0.383713,Dailyneeds,Supermarket
93,Waitrose & Partners,51.56763459380306,-0.35203656330702415,Dailyneeds,Supermarket
94,Sainsbury's,51.55705002873037,-0.39619184247700057,Dailyneeds,Supermarket
96,Sainsbury's,51.562353740696146,-0.35683502879512385,Dailyneeds,Supermarket
98,Asda,51.558836120223006,-0.39982450441242773,Dailyneeds,Supermarket
99,Aldi,51.5597039935691,-0.40140992728196395,Dailyneeds,Supermarket
100,Asda,51.557689,-0.360897,Dailyneeds,Supermarket
101,Sriram,51.57585,-0.37003353,Dailyneeds,Supermarket
102,Rayners Lane Supermarket,51.576054,-0.36947462,Dailyneeds,Supermarket
103,Istanbul Express,51.58501,-0.362007,Dailyneeds,Supermarket
105,Waitrose & Partners,51.60532897876809,-0.33966425064738814,Dailyneeds,Supermarket
107,Asda,51.5948409,-0.3354547,Dailyneeds,Supermarket
108,Tesco,51.58630108426844,-0.33364368419440904,Dailyneeds,Supermarket
109,Morrisons,51.58063782408121,-0.34274948409707195,Dailyneeds,Supermarket
110,Lidl,51.5802162178653,-0.336742967394943,Dailyneeds,Supermarket
111,Tesco Express,51.5817604,-0.3332737,Dailyneeds,Supermarket
113,Morrisons,51.60831428841643,-0.3651913243309597,Dailyneeds,Supermarket
114,Tesco,51.595561086244764,-0.33281758989056115,Dailyneeds,Supermarket
115,Northwest International Supermarket,51.582115,-0.333101,Dailyneeds,Supermarket
118,Nisa Local,51.62703196268875,-0.38756501226828277,Dailyneeds,Supermarket
119,Lidl,51.649022494172,-0.386877376928294,Dailyneeds,Supermarket
122,Aldi,51.649229,-0.389195,Dailyneeds,Supermarket
124,Waitrose & Partners,51.33180605521637,-0.2697090000000344,Dailyneeds,Supermarket
125,Lidl,51.360363660373665,-0.3098749824992354,Dailyneeds,Supermarket
127,Sainsbury's Local,51.3674115,-0.30704615,Dailyneeds,Supermarket
128,Sainsbury's Local,51.38301509914097,-0.28876205230178975,Dailyneeds,Supermarket
129,H Mart,51.4024044352604,-0.2681289488372127,Dailyneeds,Supermarket
130,Asda,51.4112773,-0.2901778,Dailyneeds,Supermarket
131,Sainsbury's,51.41573620440073,-0.3029399521495746,Dailyneeds,Supermarket
132,Waitrose & Partners,51.411323,-0.30576,Dailyneeds,Supermarket
133,Aldi,51.40381100089284,-0.27272893548958643,Dailyneeds,Supermarket
134,Sainsbury's,51.39168938954037,-0.3074245133934306,Dailyneeds,Supermarket
135,Waitrose & Partners,51.39385835441002,-0.30517860859833945,Dailyneeds,Supermarket
136,Waitrose & Partners,51.41951794,-0.30162281,Dailyneeds,Supermarket
137,Lidl,51.410233997600095,-0.30122059248223293,Dailyneeds,Supermarket
138,Aldi,51.41013758171051,-0.3013647826048081,Dailyneeds,Supermarket
140,Best Foods,51.38103306360717,-0.2969532938645548,Dailyneeds,Supermarket
141,Sainsbury's Local,51.43131438,-0.3073295,Dailyneeds,Supermarket
151,Sainsbury's Local,51.45509356,-0.29690745,Dailyneeds,Supermarket
152,Sainsbury's,51.4665828529178,-0.28638317786892964,Dailyneeds,Supermarket
154,Waitrose & Partners,51.461356,-0.301994,Dailyneeds,Supermarket
155,Waitrose & Partners,51.464646637160875,-0.2687398933799159,Dailyneeds,Supermarket
156,Waitrose Sky Osterley,51.48954706257392,-0.32744407653808594,Dailyneeds,Supermarket
157,Tesco Extra,51.4852174,-0.330818,Dailyneeds,Supermarket
159,Morrisons,51.51374402645086,-0.30418684305732446,Dailyneeds,Supermarket
163,Morrisons,51.48377140558267,-0.3052658182798919,Dailyneeds,Supermarket
164,Whitestile Local Supermarket,51.49372,-0.30689937,Dailyneeds,Supermarket
168,Little Waitrose,51.51568,-0.29139,Dailyneeds,Supermarket
169,Morrisons,51.50771219810623,-0.27271654405733886,Dailyneeds,Supermarket
174,Sainsbury's,51.53873953023739,-0.30327177753704193,Dailyneeds,Supermarket
175,Asda,51.5285728,-0.2696693,Dailyneeds,Supermarket
176,easyfoodstore.com,51.53561844963087,-0.28772592544555664,Dailyneeds,Supermarket
177,Lidl,51.5081099840726,-0.27038736524374,Dailyneeds,Supermarket
179,Loon Fung,51.53755930699555,-0.3019835080111515,Dailyneeds,Supermarket
