,Venue,Latitude,Longitude,Group,Category
0,Platform 6,51.47220478380227,-0.4906712612459794,Transport,Trains_Platforms
1,T5 Piccadily Line,51.472256,-0.489281,Transport,Trains_Platforms
2,Platform 1,51.4707,-0.4543689,Transport,Trains_Platforms
3,Platform 4,51.50790352079767,-0.5419670993283928,Transport,Trains_Platforms
4,Platform 3,51.507931177009574,-0.5420314849869016,Transport,Trains_Platforms
7,Platform 2,51.50752992178404,-0.5420028466007359,Transport,Trains_Platforms
8,Platform 1,51.507789313060215,-0.5421771475759062,Transport,Trains_Platforms
9,Platform 4,51.508400518582306,-0.5063940350981034,Transport,Trains_Platforms
10,Platform 4,51.50989577706144,-0.47196825051938296,Transport,Trains_Platforms
11,Uxbridge Station Sidings,51.54682830526658,-0.47673560427424955,Transport,Trains_Platforms
13,Platform 2,51.50978779748347,-0.47188132428745844,Transport,Trains_Platforms
14,Platform 3,51.509818924186135,-0.4718239130076037,Transport,Trains_Platforms
15,Platform 1,51.50969341445009,-0.4699605865736809,Transport,Trains_Platforms
16,Platform 2,51.57870719064781,-0.49716529329597636,Transport,Trains_Platforms
17,Platform 1,51.578747544204894,-0.4975617847732841,Transport,Trains_Platforms
21,Platform 1,51.447808732237306,-0.41020576578034573,Transport,Trains_Platforms
22,Platform 2,51.44791111531028,-0.4094066155011251,Transport,Trains_Platforms
24,Platform 2,51.50294595394508,-0.42014122009277344,Transport,Trains_Platforms
26,Platform 4,51.50297266764028,-0.41923999786376953,Transport,Trains_Platforms
28,Platform 5,51.503086,-0.41950485,Transport,Trains_Platforms
29,Platform 3,51.50335196803405,-0.41977441950338784,Transport,Trains_Platforms
33,Platform 1,51.503086,-0.4208272,Transport,Trains_Platforms
39,Platform 2,51.553589,-0.450393,Transport,Trains_Platforms
41,Platform 1,51.553606,-0.450382,Transport,Trains_Platforms
42,Platform 1,51.29950439589591,-0.33300045403959516,Transport,Trains_Platforms
43,Platform 2,51.29921984570763,-0.33294053955173825,Transport,Trains_Platforms
44,Platform 1,51.38913386213878,-0.3392241211285203,Transport,Trains_Platforms
45,Platform 2,51.36108,-0.34836933,Transport,Trains_Platforms
46,Platform 2,51.40117986976446,-0.34240231294902895,Transport,Trains_Platforms
47,Platform 1,51.401903950548395,-0.3424278416157421,Transport,Trains_Platforms
48,Platform 1,51.375726606212474,-0.34070729736321337,Transport,Trains_Platforms
49,Platform 2,51.37507616423936,-0.34048340256664744,Transport,Trains_Platforms
52,Platform 2,51.462105,-0.36158657,Transport,Trains_Platforms
53,Platform 3,51.45059196167601,-0.32858474607300403,Transport,Trains_Platforms
54,Platform 5,51.45053932406369,-0.32866272246165307,Transport,Trains_Platforms
55,Platform 4,51.45056060862928,-0.3288286727341799,Transport,Trains_Platforms
56,Platform 1,51.462067,-0.36198288,Transport,Trains_Platforms
57,Platform 2,51.449368,-0.35728934,Transport,Trains_Platforms
58,Platform 2,51.474792,-0.33689415,Transport,Trains_Platforms
59,Platform 1,51.433812790223804,-0.349559027196469,Transport,Trains_Platforms
60,Platform 2,51.43253379666535,-0.3479563548270678,Transport,Trains_Platforms
61,Platform 1,51.449337,-0.3570674,Transport,Trains_Platforms
62,Platform 1,51.47476061014808,-0.33740977133169064,Transport,Trains_Platforms
63,Platform 4,51.45485831670153,-0.3210051685763045,Transport,Trains_Platforms
64,Platform 3,51.454999498762774,-0.3197099347370099,Transport,Trains_Platforms
65,Platform 1,51.454900145203226,-0.32037619492856617,Transport,Trains_Platforms
66,Platform 3,51.506106086998486,-0.3776116179726755,Transport,Trains_Platforms
67,Platform 4,51.50610820654089,-0.37738762791782887,Transport,Trains_Platforms
69,Platform 1,51.473568,-0.3859313,Transport,Trains_Platforms
73,Platform 2,51.47370104763115,-0.38506111974391954,Transport,Trains_Platforms
77,Platform 2,51.53659279012325,-0.32344222068786616,Transport,Trains_Platforms
78,Platform 3,51.5135039482266,-0.320092309266329,Transport,Trains_Platforms
79,Platform 2,51.542217,-0.34523216,Transport,Trains_Platforms
80,Platform 4,51.513607,-0.31992853,Transport,Trains_Platforms
81,Platform 4,51.556958023964846,-0.39915371241200515,Transport,Trains_Platforms
82,Platform 1,51.548382,-0.368932,Transport,Trains_Platforms
83,Platform 2,51.575196586801965,-0.37130580396514307,Transport,Trains_Platforms
84,Platform 2,51.54826,-0.36836988,Transport,Trains_Platforms
85,Platform 2,51.564682,-0.35210463,Transport,Trains_Platforms
86,Platform 2,51.55694300731684,-0.3989887652370911,Transport,Trains_Platforms
87,Platform 4,51.5934209151485,-0.3389748095751464,Transport,Trains_Platforms
88,Platform 3,51.57931341505076,-0.3366048466375313,Transport,Trains_Platforms
89,Platform 6,51.57930753368046,-0.336008662465306,Transport,Trains_Platforms
90,Platform 5,51.57930957573276,-0.33626365518820844,Transport,Trains_Platforms
91,Platform 4,51.5791136190123,-0.3366709420625886,Transport,Trains_Platforms
93,Platform 1,51.57930638158209,-0.3367642521103368,Transport,Trains_Platforms
94,Platform 2,51.59173579603929,-0.33473968505859375,Transport,Trains_Platforms
95,Platform 2,51.580790168746255,-0.33703592621593365,Transport,Trains_Platforms
96,Platform 1,51.59149659899195,-0.33435942242547084,Transport,Trains_Platforms
97,Platform 1,51.609645,-0.368841,Transport,Trains_Platforms
98,Platform 2,51.608804016439564,-0.36998285567556305,Transport,Trains_Platforms
99,Platform 5,51.59216198376091,-0.3344594744173468,Transport,Trains_Platforms
100,Platform 6,51.59214074229901,-0.3344589533895381,Transport,Trains_Platforms
101,Platform 1,51.627597708086,-0.3854437292829885,Transport,Trains_Platforms
102,Platform 2,51.62752,-0.385426,Transport,Trains_Platforms
103,Platform 3,51.645047,-0.384923,Transport,Trains_Platforms
104,Platform 6,51.645438,-0.384817,Transport,Trains_Platforms
105,Platform 2,51.645616,-0.385022,Transport,Trains_Platforms
106,Platform 5,51.645480889384565,-0.3849237862641602,Transport,Trains_Platforms
109,Platform 3,51.33457297739204,-0.26875359642866836,Transport,Trains_Platforms
110,Platform 1,51.33442938121692,-0.26881906716290094,Transport,Trains_Platforms
111,Platform 2,51.33447924910813,-0.26907169635768263,Transport,Trains_Platforms
112,Platform 4,51.33455576004644,-0.26925072353452023,Transport,Trains_Platforms
114,Platform 1,51.36415159753421,-0.3005276297514506,Transport,Trains_Platforms
117,Platform 3,51.392366107446875,-0.3041313887178486,Transport,Trains_Platforms
118,Platform 4,51.39227746761489,-0.3040534113252443,Transport,Trains_Platforms
119,Platform 1,51.39264215147985,-0.30410505254933995,Transport,Trains_Platforms
