,Venue,Latitude,Longitude,Group,Category
0,Heathrow Terminal 5 London Underground Station,51.472284111451515,-0.48919423739353524,Transport,Underground
1,Heathrow Terminal 4 London Underground Station,51.45870664171014,-0.4455041885375976,Transport,Underground
2,Heathrow Terminals 2 & 3 London Underground Station,51.47125419965506,-0.4522847252322866,Transport,Underground
4,Uxbridge London Underground Station,51.5465544338025,-0.4778850351782727,Transport,Underground
6,on route to london,51.6385383605957,-0.481447696685791,Transport,Underground
7,Hatton Cross London Underground Station,51.466885267559235,-0.4232045885500935,Transport,Underground
11,Ickenham London Underground Station,51.56188040685392,-0.4420726130548966,Transport,Underground
12,Hillingdon London Underground Station,51.55377739007843,-0.4498997173757709,Transport,Underground
13,Ruislip Gardens London Underground Station,51.56068165545845,-0.41093040099109157,Transport,Underground
15,West Ruislip London Underground Station,51.56949108584682,-0.4372084398756279,Transport,Underground
16,Ruislip London Underground Station,51.571459933517865,-0.42138714896371743,Transport,Underground
17,Ruislip depot Lul,51.563609,-0.423559,Transport,Underground
18,Northwood Hills London Underground Station,51.60043439533545,-0.4090177593830736,Transport,Underground
19,Northwood London Underground Station,51.61080330633367,-0.42366834304350304,Transport,Underground
21,Pinner London Underground Station,51.59273019365523,-0.3807814092452947,Transport,Underground
23,Ruislip Manor London Underground Station,51.57333319034821,-0.4121806294313193,Transport,Underground
24,Eastcote London Underground Station,51.57667328314082,-0.39664701101581995,Transport,Underground
25,Moor Park London Underground Station,51.62984420035199,-0.43230493620854765,Transport,Underground
26,Rickmansworth London Underground Station,51.64023572173073,-0.4735579379241356,Transport,Underground
27,Croxley London Underground Station,51.64734056525304,-0.4414529450710101,Transport,Underground
30,Hounslow Central London Underground Station,51.471308464210374,-0.36592948431990374,Transport,Underground
31,Osterley London Underground Station,51.48143588304686,-0.35195148004559096,Transport,Underground
32,Hounslow East London Underground Station,51.47333587887716,-0.3561665377622574,Transport,Underground
35,Hounslow West London Underground Station,51.473581906999826,-0.38562192276217033,Transport,Underground
36,Perivale London Underground Station,51.536833035258354,-0.3234100341796875,Transport,Underground
